"source_skill","source_slug","source_normalized_file","parent_claude_skill","secondary_parent_skills","workflow_file","deployment_workflow_file","resources_used","provenance_file","coverage_status","notes"
"adme-ml-modeling","adme-ml-modeling","02_normalized/adme-ml-modeling.yaml","small-molecule-modeling-and-safety","","_source_workflows/adme-ml-modeling/WORKFLOW.md","small-molecule-modeling-and-safety/references/source_workflows/adme-ml-modeling/WORKFLOW.md","rr_438784fda4143b4d;rr_32d3c350d055e9c5;rr_82772eef38cc3f74;rr_1d51aff3c785c707;rr_0967ef8e69dbb761;rr_4523b9e5501b8ada;rr_44f364c180bdeaba;rr_36d9c53a20997e27;rr_6f9462850ac65945;rr_ba3a253afd8f6f97;rr_d0c376fab60086e1;rr_f18674becf190529","_source_workflows/adme-ml-modeling/provenance.md","PASS","Keep labelled single-endpoint assay modeling distinct from descriptor-only ADMET; retain prospective evaluation, applicability-domain flags, calibration, and censoring rules; exclude Biomni execution/report shell."
"antibody-developability-humanization","antibody-developability-humanization","02_normalized/antibody-developability-humanization.yaml","antibody-and-protein-engineering","","_source_workflows/antibody-developability-humanization/WORKFLOW.md","antibody-and-protein-engineering/references/source_workflows/antibody-developability-humanization/WORKFLOW.md","rr_963cffc96da6ab99;rr_62043b184157ba93;rr_0ec5f0a570db75c2;rr_a126ea8bfce4d752;rr_9d9b8479911a4202;rr_9aa371db6fca1a6a;rr_4396346d6297ce81;rr_2c3b62ba0b4eb716;rr_7ca7452d33a1bf1c;rr_f0e8496a76f29ebe;rr_8f61fe6bf3e52682","_source_workflows/antibody-developability-humanization/provenance.md","PASS","Keep sequence-based developability, immunogenicity, and humanization as an antibody mode; do not merge with de novo binder generation."
"binder-antibody-design","binder-antibody-design","02_normalized/binder-antibody-design.yaml","antibody-and-protein-engineering","","_source_workflows/binder-antibody-design/WORKFLOW.md","antibody-and-protein-engineering/references/source_workflows/binder-antibody-design/WORKFLOW.md","rr_79bb928e6ba23051;rr_5e3c7e84dd88629d;rr_d12d65769eea989c;rr_66e05683356bf73d;rr_c0fd048a6b44a52d;rr_8b81221d6634a785;rr_67b81caacb4ec5f3;rr_05b204abaf4052d3;rr_69d869c5544a6f36;rr_112dd815c618da5a;rr_b5b07fd06b51e236;rr_f98ee4f9d1976086","_source_workflows/binder-antibody-design/provenance.md","PASS","Consolidate with antibody engineering at the portfolio level, but retain a separate de novo binder/structure-design route and confidence metrics."
"binding-affinity-ml-model","binding-affinity-ml-model","02_normalized/binding-affinity-ml-model.yaml","small-molecule-modeling-and-safety","","_source_workflows/binding-affinity-ml-model/WORKFLOW.md","small-molecule-modeling-and-safety/references/source_workflows/binding-affinity-ml-model/WORKFLOW.md","rr_3382acd1406cf997;rr_2bfaeb478a8dda14;rr_812e848632bffa2a;rr_806458b94ba25e08;rr_5d8529d3ad92c7ab;rr_6aba97b6dceeffd7;rr_b445da126d4e26a7;rr_0d8a4ec7c0d18e90;rr_5a8043c56ba93655;rr_cc3c01dafb57f5c3;rr_023ea4715332a5e4;rr_775191876438adfc","_source_workflows/binding-affinity-ml-model/provenance.md","PASS","Route affinity/potency QSAR and virtual-library scoring as a supervised bioactivity mode; preserve scaffold splits and applicability-domain confidence."
"bulk-omics-clustering","bulk-omics-clustering","02_normalized/bulk-omics-clustering.yaml","bulk-rna-and-omics-analysis","","_source_workflows/bulk-omics-clustering/WORKFLOW.md","bulk-rna-and-omics-analysis/references/source_workflows/bulk-omics-clustering/WORKFLOW.md","rr_768976ec1e5ecb26;rr_1c6a1f0c3a7d3130;rr_5bd73a390b9bdcf4;rr_6aba97b6dceeffd7;rr_ff66d8a2831b3a9d;rr_0c9c2cb673788e2c;rr_c8a494b2f458c9b8;rr_9b3fd110fcf1354e;rr_b1a42a2762ca4830;rr_9844b0bbbbc9a93d;rr_a9bbd58ad0665042;rr_d0240296f3e47c1f;rr_d828e130c1221d56;rr_20ba9bc2947a7e74;rr_e33af3ad72790ee1;rr_fd29888cae9231fa;rr_24249a7f90c175ab","_source_workflows/bulk-omics-clustering/provenance.md","PASS","Preserve unsupervised sample/feature clustering and modality-specific preprocessing; do not collapse clustering into DE."
"bulk-rnaseq-counts-to-de-deseq2","bulk-rnaseq-counts-to-de-deseq2","02_normalized/bulk-rnaseq-counts-to-de-deseq2.yaml","bulk-rna-and-omics-analysis","","_source_workflows/bulk-rnaseq-counts-to-de-deseq2/WORKFLOW.md","bulk-rna-and-omics-analysis/references/source_workflows/bulk-rnaseq-counts-to-de-deseq2/WORKFLOW.md","rr_05307380030b2d3a;rr_9931bde2d2a04bd2;rr_277fc3d07a5c2e61;rr_fd8b64922127e09b;rr_8a7a79093107ed07;rr_398c44e3bc5a4c8d;rr_5ab4f7dac99a5467;rr_f3a4936deaf955aa;rr_bcb48b51f2cfb767;rr_042493e33eff103b;rr_cb2049dbd4086642;rr_63cfe83f880c4d9b","_source_workflows/bulk-rnaseq-counts-to-de-deseq2/provenance.md","PASS","Keep count-level DE and design/normalization/multiple-testing assumptions explicit; framework adapters are optional."
"cancer-cohort-genomics","cancer-cohort-genomics","02_normalized/cancer-cohort-genomics.yaml","cancer-genomics-landscape","","_source_workflows/cancer-cohort-genomics/WORKFLOW.md","cancer-genomics-landscape/references/source_workflows/cancer-cohort-genomics/WORKFLOW.md","rr_fb52f88fc88d3558;rr_4e898a4245532e0b;rr_8f43998cd31a3498;rr_f446edf915b11e32","_source_workflows/cancer-cohort-genomics/provenance.md","PASS","Keep cohort-level alteration frequency, copy-number conventions, and matched-cohort denominators distinct from per-variant annotation."
"cell-cell-communication","cell-cell-communication","02_normalized/cell-cell-communication.yaml","cell-communication-analysis","","_source_workflows/cell-cell-communication/WORKFLOW.md","cell-communication-analysis/references/source_workflows/cell-cell-communication/WORKFLOW.md","rr_8e8c99218b66f534;rr_ab8c77c86de26b52;rr_fae1356c600ed6e7;rr_2de7dc9af1067925;rr_6c14b514e9a676d3;rr_3207a85ab2fa3c8d;rr_7dadc66200d982df;rr_77b4f130e7222be2;rr_c8a494b2f458c9b8","_source_workflows/cell-cell-communication/provenance.md","PASS","Preserve ligand-receptor inference, cell-type labels, and uncertainty; CellChat is an adapter, not the skill contract."
"cell-surface-antigen-discovery","cell-surface-antigen-discovery","02_normalized/cell-surface-antigen-discovery.yaml","target-evidence-and-tractability","","_source_workflows/cell-surface-antigen-discovery/WORKFLOW.md","target-evidence-and-tractability/references/source_workflows/cell-surface-antigen-discovery/WORKFLOW.md","rr_54508f6e69a96992;rr_47d1a657fda1331e;rr_1cd8978f9c801055;rr_d2ee5ce6f038e497;rr_4e898a4245532e0b;rr_e95acd1fa3b14b36;rr_b1c2531817d2edcc;rr_29c26e96edaa2f32;rr_1daed7d2bf6230cb;rr_8bcb2f44aeb3b626;rr_063ec900fce6482b;rr_13889777971f5bd5","_source_workflows/cell-surface-antigen-discovery/provenance.md","PASS","Route surfaceome, extracellular-accessibility, tumor specificity, and normal-tissue safety as a surface-antigen mode; retain validation controls."
"cell-therapy-car-design","cell-therapy-car-design","02_normalized/cell-therapy-car-design.yaml","cell-therapy-design-and-qc","","_source_workflows/cell-therapy-car-design/WORKFLOW.md","cell-therapy-design-and-qc/references/source_workflows/cell-therapy-car-design/WORKFLOW.md","rr_5ac26494d5be53b7;rr_32827ecb9ea1a718;rr_c49cec36e8c9e57e;rr_35008451773531e5;rr_ec2c9dff0cb1a776;rr_d2ee5ce6f038e497;rr_9194ecc904e4151a;rr_9c01c8128e7fdba4;rr_bf640371fd3c9050;rr_938b8adc8d3ff182;rr_0fde0898fc1f5a5a;rr_2d5916535d41e5d9;rr_d639546fd15be664","_source_workflows/cell-therapy-car-design/provenance.md","PASS","Retain screen-to-target and receptor-construct requirements, but exclude Biomni-native tools, GenBank/report branding, and platform-specific orchestration."
