"resource_name","resource_registry_id","required_by_workflows","current_runtime_status","actual_access_method","claude_connector","mcp","local_cli","python_package","r_package","web","public_api","credential_required","notes","resource_type"
"query_uniprot","rr_858bb3ad3f80e870","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_alphafold","rr_9839d5458f46ed41","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_interpro","rr_0737a1b4b40240e4","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_pdb","rr_3db6d51acbfa4fd8","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_pdb_identifiers","rr_d5170efa75cf8428","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_kegg","rr_79426b85cda4fca2","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_stringdb","rr_b84a7855655b4972","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_iucn","rr_827198a1d2c1bf16","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_paleobiology","rr_1eca678e8fa4592a","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_jaspar","rr_e901a56075c0aa34","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
"query_worms","rr_253fe90b37ba7d89","","PUBLIC_API","NOT_RUNTIME_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","NOT_TESTED","POSSIBLE_NOT_TESTED","DECLARED_NOT_CONNECTED","UNKNOWN","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed. No connector, API request, CLI, or package execution was performed by this source-layer build.","web_database"
