"task_type","primary_resource","secondary_resource","fallback_resource","source_skills"
"Aggregate raw counts to donor-by-cell-type pseudobulk samples and compare a case group with a control group.","CZ CELLxGENE Census","User-supplied single-cell AnnData or donor-by-cell-type raw-count matrix","A public repository containing the requested condition","single-cell-census-query"
"Align germline sequencing reads and call short variants.","GIAB truth VCF and confident-region BED;User-supplied build-matched reference and capture-kit BED","UCSC or Ensembl reference sequence","GENCODE exon target BED","variant-calling-from-sequencing"
"Analyze 10X Chromium, Drop-seq, Smart-seq2, or inDrop single-cell RNA-seq data with adaptive QC and doublet detection.","Seurat v5","Harmony, Seurat CCA or RPCA, DoubletFinder, SoupX, SingleR, and DESeq2","LogNormalize","scrnaseq-seurat-core-analysis"
"Analyze 10X Chromium, Drop-seq, Smart-seq2, or inDrop single-cell RNA-seq data.","Scanpy and AnnData","scVI, scANVI, Harmony, CellTypist, Scrublet, and PyDESeq2","Backed mode or subsampling","scrnaseq-scanpy-core-analysis"
"Analyze Perturb-seq, CROP-seq, CRISPRi, CRISPRa, or CRISPR knockout screens with scRNA-seq readout.","Non-targeting controls and biological-replicate batch labels;User-supplied 10X Feature-Barcode matrices and sgRNA mapping files","glmGamPoi;Papalexi and Satija 2021 ECCITE-seq CRISPRi dataset","CellRanger or a CROP-seq assignment pipeline;Fast t-test screening results;Small synthetic demo dataset","pooled-crispr-screens"
"Analyze protein quantification data from TMT or LFQ experiments with biological replicates.","Packaged R scripts for data loading, limma/DEqMS analysis, quality-control plotting, and export.;User-supplied TMT or LFQ protein intensity, PSM, and metadata files.","A431 TMT 10-plex example dataset loaded through ExperimentHub.;Detailed method and normalization guidance in the packaged references.","Base R SVG device.;Packaged RMarkdown, HTML, or script reporting fallback.","proteomics-diff-exp"
"Ancestry-aware statistical fine-mapping of one GWAS locus","SuSiE with ancestry-matched signed LD","GTEx v8, eQTL Catalogue, and ENCODE SCREEN annotations","In-sample LD","fine-mapping-susie"
"Annotate and validate approved or clinical reversal candidates.","Broad Repurposing Hub;LINCS L1000 disease and perturbation signatures","ClinicalTrials.gov;MGI mouse-to-human ortholog mapping","Bundled MGI ortholog fallback table","drug-repurposing-indication-expansion"
"Apply PSM-aware differential testing when peptide-spectrum-match or peptide counts are available.","Packaged R scripts for data loading, limma/DEqMS analysis, quality-control plotting, and export.;User-supplied TMT or LFQ protein intensity, PSM, and metadata files.","A431 TMT 10-plex example dataset loaded through ExperimentHub.;Detailed method and normalization guidance in the packaged references.","Base R SVG device.;Packaged RMarkdown, HTML, or script reporting fallback.","proteomics-diff-exp"
"Assemble and quality-control a combinatorial bifunctional-degrader library.","Target and precedent records from ChEMBL, PubChem, UniProt, RCSB PDB, and cited literature","Human Protein Atlas normal-tissue expression","Model-knowledge precedents labeled as not tool-verified","targeted-degrader-design"
"Assess cardiac and broader ADMET concerns while disclosing engine coverage.","ADMET-AI;ChEMBL measured bioactivity;ECFP4 leave-query-out ligand similarity;Fixed 32-target core safety panel","Adaptive nearest-neighbor panel expansion;DeepPurpose morgan_cnn_bindingdb","","off-target-safety-pharmacology"
"Assess cross-method concordance and identify method-fragile cell types.","User-supplied annotated single-cell reference matched to the bulk tissue and gene identifiers","CELLxGENE Census","Bundled synthetic immune cohort with known proportions","deconvolution-bulk-rnaseq"
"Assess developability and sequence liabilities of an antibody variable region.","Local NetMHCIIpan","Hosted IEDB prediction API","Unavailable immunogenicity axis","antibody-developability-humanization"
"Assess dispersion, sample structure, and effect patterns with standard QC views.","User raw count matrix and matching sample metadata","Bioconductor pasilla dataset","edgeR quasi-likelihood;limma-voom","bulk-rnaseq-counts-to-de-deseq2"
"Assess efficacy, pharmacokinetic/pharmacodynamic, toxicity, and translational evidence gaps.","","Europe PMC;Unpaywall","Retrieved abstract","literature-preclinical"
"Assess global and cell-type-specific differential expression with donor as the replicate unit.","CZ CELLxGENE Census","User-supplied single-cell AnnData or donor-by-cell-type raw-count matrix","A public repository containing the requested condition","single-cell-census-query"
"Assess instrument heterogeneity, directional pleiotropy, reverse causation, and weak-instrument risk.","OpenGWAS trait records","User-provided GWAS summary-statistic files","Unclumped harmonized instruments","mendelian-randomization-twosamplemr"
"Assess Lipinski and Veber compliance and quantitative estimate of drug-likeness.","ADMET-AI;ChEMBL approved small-molecule reference set;RDKit","adjustText;seaborn and matplotlib","Absolute ADMET predictions without percentiles;Physicochemical-and-drug-likeness-only analysis;PNG figures","molecular-property-admet"
"Assess normal-tissue therapeutic index and antibody tractability while keeping essentiality as annotation only.","CZ CELLxGENE Census or user-provided annotated AnnData;Human Protein Atlas dual-signal RNA and IHC baseline","DepMap;Literature search;Open Targets Platform","Curated whole-cell annotated AnnData","cell-surface-antigen-discovery"
"Assess organ-level cross-atlas concordance and synthesize an on-target safety matrix.","Curated GTEx median-TPM resource;Human Protein Atlas tissue expression","GTEx Portal v8 API","Single available atlas","tissue-expression-specificity"
"Assess secondary-pharmacology and safety-panel risk for a hit or lead.","ADMET-AI;ChEMBL measured bioactivity;ECFP4 leave-query-out ligand similarity;Fixed 32-target core safety panel","Adaptive nearest-neighbor panel expansion;DeepPurpose morgan_cnn_bindingdb","","off-target-safety-pharmacology"
"Assess small-molecule, antibody, degrader, and other clinical-modality tractability for one target.","Ligand-bound, high-resolution experimental PDB structure;Open Targets Platform evidence","AlphaFold structural model","Non-structural tractability, clinical, safety, and literature evidence","target-tractability-druggability"
"Assess target-cell identity and purity, residual pluripotency when applicable, off-target lineages, maturity when defined, and technical QC.","CellMarker2 marker panels.","Product-specific literature for identity anchors, maturity axes, pluripotency panels, and threshold grounding.","","cell-therapy-qc-scorecard"
"Assess whether human genetics, functional perturbation, drug mechanism, and mouse knockout evidence agree.","DepMap CRISPR gene-effect and dependency matrices;GeneBass, GWAS Catalog, and gnomAD;Open Targets","Primary directional literature","","direction-of-effect-concordance"
"Audit a labelled single-endpoint ADME assay table for modeling readiness.","User-provided labelled assay table","Lipophilicity_AstraZeneca benchmark","Synthetic offline smoke-test generator","adme-ml-modeling"
"Audit dataset relevance as CORE/DIRECT, ADJACENT, WEAK, or REMOVE.","BioStudies and ArrayExpress.;CZ CELLxGENE.;GDC and TCGA.;GEO and SRA through NCBI E-utilities.;OmicsDI.;PRIDE and ProteomeXchange.","cBioPortal.;ENCODE and IHEC or EpiRR.;Expression Atlas and Human Protein Atlas.;Human Cell Atlas.;MassIVE/GNPS, jPOST, iProX, and ENA.;MetaboLights and Metabolomics Workbench.","OmicsDI keyword search.;ProteomeCentral.;Targeted searches of dbGaP, EGA, and JGA.;Targeted searches of ICGC, CPTAC, AWS Open Data, UK Biobank, and FinnGen.;Targeted searches of Zenodo, Figshare, Dryad, OSF, Harvard Dataverse, and Synapse.","omics-dataset-retrieval"
"Balance treatment, replicate, batch, and other covariates across plate positions.","designit;ggplate;pwr","agricolae;openxlsx;plater","A different random seed, more iterations, or another spatial method;Base R SVG export or PNG-only output;CSV-only export","microplate-layout-design"
"Benchmark caller accuracy against a GIAB truth set when eligible truth data are supplied.","GIAB truth VCF and confident-region BED;User-supplied build-matched reference and capture-kit BED","UCSC or Ensembl reference sequence","GENCODE exon target BED","variant-calling-from-sequencing"
"Benchmark fingerprint, optional graph-neural-network, and explicitly requested DeepPurpose models.","EBI ChEMBL bioactivity and clinical or approved compound data","User-supplied SMILES library","Native fingerprint and graph models","binding-affinity-ml-model"
"Benchmark predictions against the compound's measured bioactivity without contaminating panel construction.","ADMET-AI;ChEMBL measured bioactivity;ECFP4 leave-query-out ligand similarity;Fixed 32-target core safety panel","Adaptive nearest-neighbor panel expansion;DeepPurpose morgan_cnn_bindingdb","","off-target-safety-pharmacology"
"Build a cross-repository catalog with normalized metadata, access status, omics classification, and relevance labels.","BioStudies and ArrayExpress.;CZ CELLxGENE.;GDC and TCGA.;GEO and SRA through NCBI E-utilities.;OmicsDI.;PRIDE and ProteomeXchange.","cBioPortal.;ENCODE and IHEC or EpiRR.;Expression Atlas and Human Protein Atlas.;Human Cell Atlas.;MassIVE/GNPS, jPOST, iProX, and ENA.;MetaboLights and Metabolomics Workbench.","OmicsDI keyword search.;ProteomeCentral.;Targeted searches of dbGaP, EGA, and JGA.;Targeted searches of ICGC, CPTAC, AWS Open Data, UK Biobank, and FinnGen.;Targeted searches of Zenodo, Figshare, Dryad, OSF, Harvard Dataverse, and Synapse.","omics-dataset-retrieval"
"Build a curated single-target small-molecule affinity regression dataset.","EBI ChEMBL bioactivity and clinical or approved compound data","User-supplied SMILES library","Native fingerprint and graph models","binding-affinity-ml-model"
"Build a multi-trait risk profile and summarize correlations or composite risk.","PGS Catalog score files;User-supplied PLINK genotypes","1000 Genomes Phase 3 example genotypes;PGS Catalog search","Packaged markdown, HTML, or script report;polygenic-risk-score de novo workflow","polygenic-risk-score-prs-catalog"
"Build a structured evidence table.","","Europe PMC;Unpaywall","Retrieved abstract","literature-review"
"Build an audit-ready claim-to-evidence table.","Directly accessible publisher or repository PDFs;User-supplied PDFs","Europe PMC","Abstract or provider-text context","literature-deep-review"
"Build and validate a benchmark evaluator for method development.","Protected baseline source and frozen evaluator","External or orthogonal training-safe data","","tusoai"
"Calculate tissue-specificity scores and flag high-baseline tissues.","Curated GTEx median-TPM resource;Human Protein Atlas tissue expression","GTEx Portal v8 API","Single available atlas","tissue-expression-specificity"
