"resource_name","resource_type","access_class","current_environment_evidence","access_method","license_status","source_url","notes"
"query_uniprot","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_alphafold","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_interpro","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_pdb","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_pdb_identifiers","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_kegg","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_stringdb","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_iucn","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_paleobiology","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_jaspar","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_worms","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_cbioportal","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
"query_clinvar","web_database","PUBLIC_API","Observed in the public Environment Catalog; no local availability, installation, connector, or download test performed.","official public Environment UI: Databases > Web Databases","UNKNOWN — manual review required","https://biomni.stanford.edu/environment/","Conservative PUBLIC_API classification from explicit public Environment Catalog web_database evidence; no API request, installation, connector use, or download attempted."
